Copper,Sugar,Natural Gas,Silver,Platinum,Feeder Cattle,Lean Hogs,Cotton,Live Cattle,Kansas Wheat,Close
3.256000042,15.32999992,3.055999994,17.12100029,943.7999878,149.5249939,70.72499847,77.5,123.3499985,434.75,2.4649999141693115
3.236999989,15.31000042,3.007999897,17.18499947,957.7999878,149.375,71.05000305,78.11000061,122.94999689999999,441.0,2.447000026702881
3.242500067,15.25,2.8800001139999996,17.18899918,966.0999756,149.0249939,71.375,79.25,122.25,439.75,2.453000068664551
3.207000017,15.07999992,2.795000076,17.20499992,971.2000122,146.625,71.42500305,78.01000214,119.24999999999999,437.5,2.4760000705718994
3.200999975,14.77999973,2.835000038,17.06399918,972.2999878,146.4499969,72.97499847,78.13999939,117.2249985,433.25,2.4800000190734863
3.1944999690000007,14.72999954,2.923000097,16.93600082,967.9000244,145.4750061,73.17500305,78.34999847,117.6750031,439.0,2.5460000038146973
3.2149999139999994,14.64999962,2.905999899,16.96299934,974.4000244,144.375,72.52500153,79.65000153,116.87500000000001,440.5,2.549999952316284
3.2135000230000004,14.18000031,3.084000111,16.8939991,986.9000244,143.8249969,70.97499847,82.65000153,117.0749969,440.25,2.5309998989105225
3.200000048,14.18000031,3.200000048,17.06900024,991.2000122,144.3500061,71.57499695,81.68000031,117.375,426.25,2.552000045776367
3.198999882,13.59000015,3.128999949,17.12199974,1000.200012,145.6000061,73.90000153,81.43000031,118.0999985,422.0,2.5439999103546143
3.166500092,13.420000079999998,3.232000113,17.10499954,1006.200012,147.875,72.72499847,82.13999939,120.9749985,427.0,2.578000068664551
3.177000046,13.07999992,3.188999891,16.89299965,1005.0000000000001,149.1750031,73.05000305,82.62999725,121.9499969,429.5,2.611000061035156
3.167000055,13.25,3.184999943,16.97500038,1016.200012,147.9499969,72.07499695,83.41999817,121.9000015,427.5,2.63700008392334
3.17750001,13.17000008,3.223999977,16.93099976,994.2999878000002,147.8999939,71.80000305,83.41000366,123.55000310000001,428.5,2.664999961853028
3.08949995,13.18999958,3.444000006,16.85499954,1005.299988,148.625,72.25,82.26000214,124.72499849999998,423.25,2.624000072479248
3.208499908,13.159999850000002,3.509000063,17.42499924,1013.299988,148.1499939,72.92500305,82.26999664,125.4250031,433.0,2.6540000438690186
3.198999882,13.23999977,3.447000027,17.5510006,1029.300049,147.8500061,72.47499847,81.87999725,122.4749985,435.0,2.621000051498413
3.182499886,13.35999966,3.505000114,17.38199997,1014.9999999999999,146.7250061,72.27500153,80.48000336,124.5999985,443.0,2.6619999408721924
3.177000046,13.720000270000002,3.1949999329999996,17.01300049,997.4000244,147.1750031,72.44999695,77.02999878,124.82499689999999,469.75,2.7260000705718994
3.184000015,13.22999954,2.994999886,17.20400047,1001.299988,145.0500031,73.22499847,77.27999878,123.84999850000001,467.25,2.720000028610229
3.197000027,13.36999989,2.855999947,17.11800003,1004.799988,149.5500031,74.82499695,78.34999847,126.4250031,467.0,2.7730000019073486
3.1765000819999996,13.63000011,2.845999956,16.6760006,996.4000244,150.9250031,75.19999695,77.30000305,126.84999849999998,463.25,2.8540000915527344
3.210500002,13.89999962,2.746999979,16.63899994,992.5,149.6750031,75.82499695,76.56999969,126.125,461.75,2.7939999103546143
3.17750001,13.84000015,2.759000063,16.54800034,991.2999878,148.72500610000003,74.75,76.19000244,125.625,469.0,2.7679998874664307
3.076499939,14.0,2.701999903,16.20599937,978.7000122,148.3000031,73.84999847,75.95999908,125.5999985,481.0,2.844000101089477
3.072000027,13.57999992,2.697000027,16.31399918,975.4000244,147.25,73.40000153,76.62000275,125.77500150000002,474.5,2.8510000705718994
3.0244998929999998,13.67000008,2.584000111,16.11599922,958.4999999999999,146.1999969,73.17500305,76.68000031,126.5250015,465.5,2.8289999961853027
3.077500105,13.72999954,2.552000046,16.54800034,969.7999878000002,147.6750031,73.07499695,76.44999695,127.125,477.5,2.8570001125335693
3.154500008,13.47999954,2.594000101,16.50699997,972.7000122000001,147.2749939,73.34999847,76.37999725,126.8249969,474.5,2.8399999141693115
3.228499889,13.399999619999997,2.586999893,16.8579998,996.0999756,148.1750031,73.5,75.59999847,127.6500015,469.75,2.9130001068115234
3.239000082,13.61999989,2.579999924,16.77700043,998.0999756,149.8249969,69.72499847,75.41000366,129.2749939,478.0,2.8910000324249268
3.2430000309999993,13.38000011,2.558000088,16.69499969,1009.299988,149.7250061,68.15000153,75.72000122,130.1000061,478.5,2.877000093460083
